# File: Vestas Climate Library time series data
# Disclaimer: Please be aware that the climate data provided here is derived from numerical models, which have inherent uncertainties and limitations. 
#             The data should be used with caution, considering the model's resolution, potential biases, and uncertainties. 
#             Expert consultation, thorough validation, and an understanding of the data's quality are essential for responsible use and decision-making. 
#             Vestas does not assume any responsibilities for the values contained in the VCL data and any calculations or assumptions that may be derived from them.
# License: Vestas Wind Systems A/S
#
# Created: 2023-12-06 19:15:08
# Location (WGS84):
# Requested minimum longitude [decimal degrees E]: 33.34
# Requested minimum latitude [decimal degrees N]: 26.22639
# Requested maximum longitude [decimal degrees E]: 34.36959
# Requested maximum latitude [decimal degrees N]: 27.05463
#
xlat,xlong,swdown_avg,t2_avg,tkepbl_avg_30.0,wsp_avg_30.0,t2_max,sst_min
26.350632,34.021729,267.899949,297.744346,0.5016933478,7.9605375742,318.84,0.00
26.846870,33.957214,263.217885,298.444421,0.2901720058,8.4875292626,312.86,286.03
26.749336,34.128876,262.964852,298.233434,0.3146621026,8.8422287882,309.35,294.22
26.977604,34.308228,261.410737,298.194764,0.2911439635,8.5905581785,306.91,294.30
26.901554,33.353271,277.017758,293.738157,0.5297197572,7.9239014209,314.40,0.00
26.499378,33.886688,269.060576,297.131516,0.3984873649,5.9605877741,317.77,0.00
26.623718,33.718201,270.925546,296.897389,0.4919199765,6.7128168222,318.59,0.00
26.571888,33.986389,267.663540,297.859671,0.4266867016,6.8970635840,318.50,0.00
26.486183,33.733002,271.981441,296.810069,0.5097715311,7.5881533041,317.33,0.00
26.334785,33.898254,270.839316,296.814416,0.4512893735,4.7880338209,319.10,0.00
26.781868,34.071686,263.104219,298.185403,0.2981982683,8.6533987759,307.82,294.22
26.763935,33.673218,273.190424,297.375649,0.6198832333,9.2036429949,317.12,0.00
26.288307,34.105743,268.828776,297.418060,0.4479879066,7.3212876829,317.87,0.00
26.405560,33.419617,275.866759,296.035277,0.4125737218,6.4394772282,317.76,0.00
26.491020,33.977051,268.038470,297.135055,0.3877926872,6.2118021202,317.18,0.00
26.628574,33.962463,266.104533,298.572074,0.4766462639,7.4947706344,318.79,0.00
