# File: Vestas Climate Library time series data
# Disclaimer: Please be aware that the climate data provided here is derived from numerical models, which have inherent uncertainties and limitations. 
#             The data should be used with caution, considering the model's resolution, potential biases, and uncertainties. 
#             Expert consultation, thorough validation, and an understanding of the data's quality are essential for responsible use and decision-making. 
#             Vestas does not assume any responsibilities for the values contained in the VCL data and any calculations or assumptions that may be derived from them.
# License: Vestas Wind Systems A/S
#
# Created: 2023-12-04 15:24:25
# Location (WGS84):
# Requested minimum longitude [decimal degrees E]: 4.75418
# Requested minimum latitude [decimal degrees N]: 53.1617
# Requested maximum longitude [decimal degrees E]: 5.14093
# Requested maximum latitude [decimal degrees N]: 53.34025
# Requested heights [meters]: 30,80,120
#
xlat,xlong,dx,count,wsp_avg,tc_avg,rho_avg,hgt_avg,rh_avg,shear_avg,wsp_perc_interval,tc_perc_interval,rho_perc_interval,hgt_perc_interval,rh_perc_interval,icing_perc_interval,shear_perc_interval,comb_perc_interval
53.261429,4.903961,3000,121337,7.978117,10.400444,1.237894,0.650000,81.001629,0.106834,22.35674196658892,2.5944270914889933,100.0,100.0,100.0,100.0,100.0,0.9716739329305982
53.248978,5.091400,3000,121337,8.084552,10.351318,1.238230,0.000000,81.335033,0.102084,21.753463494235064,2.5416814327039567,100.0,100.0,100.0,100.0,100.0,0.90409355761227
53.292236,4.943115,3000,121337,8.014489,10.367670,1.238087,0.040000,81.372707,0.106313,22.196032537478263,2.3925101164525246,100.0,100.0,100.0,100.0,100.0,0.9238731796566587
53.279736,5.130707,3000,121337,7.993139,10.338275,1.238240,0.270000,81.266701,0.106465,22.34602800464821,2.556516149237248,100.0,100.0,100.0,100.0,100.0,0.9551909145602743
53.306858,5.124634,3000,121337,7.721391,10.354798,1.238098,0.640000,81.095648,0.118007,23.370447596363846,2.5936029405704772,100.0,100.0,100.0,100.0,100.0,1.0268920444711835
53.319351,4.936951,3000,121337,8.297504,10.322975,1.238236,0.000000,81.862699,0.094009,20.625200886786388,2.052959938023851,100.0,100.0,100.0,100.0,100.0,0.6997041298202527
53.257713,4.858643,3000,121337,8.231275,10.374723,1.238052,0.120000,81.408346,0.095841,20.8699737095857,2.3620165324674254,100.0,100.0,100.0,100.0,100.0,0.7615154487089676
53.330345,5.073151,3000,121337,7.864817,10.357977,1.238006,0.950000,81.171240,0.112987,22.96661364629091,2.572175016689056,100.0,100.0,100.0,100.0,100.0,1.0433750628415075
53.214561,5.006897,3000,121337,8.085256,10.387145,1.238080,0.000000,81.230336,0.101123,21.560612179302275,2.554867847400216,100.0,100.0,100.0,100.0,100.0,0.8793690300567839
53.323032,4.982330,3000,121337,8.243895,10.331132,1.238208,0.090000,81.666775,0.095907,20.974640876237256,2.212021065297477,100.0,100.0,100.0,100.0,100.0,0.7994263909607127
53.281101,4.807068,3000,121337,8.398321,10.345784,1.238126,0.000000,81.957077,0.089210,20.183455994461706,1.9639516388241014,100.0,100.0,100.0,100.0,100.0,0.58102639755392
53.245338,5.046082,3000,121337,8.078064,10.375156,1.238119,0.000000,81.237791,0.102406,21.71390425014629,2.538384829029892,100.0,100.0,100.0,100.0,100.0,0.8950278975085917
53.196033,4.780518,3000,121337,8.201723,10.377980,1.238066,0.090000,81.605813,0.098039,21.4905593512284,2.2812497424528377,100.0,100.0,100.0,100.0,100.0,0.7145388463535443
53.180077,4.922485,3000,121337,7.867224,10.408585,1.238013,0.000000,80.978521,0.112014,22.739972143698957,2.650469353948095,100.0,100.0,100.0,100.0,100.0,0.9131592177159481
53.221851,5.097473,3000,121337,8.110299,10.344060,1.238281,0.000000,81.420841,0.099819,21.353750298754708,2.5771199222001533,100.0,100.0,100.0,100.0,100.0,0.9016211048567214
53.268799,4.994629,3000,121337,7.806223,10.408588,1.237881,0.550000,80.899727,0.114179,23.006997041298202,2.6496452030295785,100.0,100.0,100.0,100.0,100.0,1.0268920444711835
53.163967,5.064362,3000,121337,8.047291,10.361666,1.238243,0.000000,81.370653,0.100958,21.445231050710007,2.6595350140517735,100.0,100.0,100.0,100.0,100.0,0.9238731796566587
53.176373,4.877228,3000,121337,7.618472,10.421968,1.237927,0.370000,80.620453,0.123720,24.352835491235155,2.8400240652068205,100.0,100.0,100.0,100.0,100.0,1.02112298804157
53.277359,4.761719,3000,121337,8.434586,10.355135,1.238072,0.000000,82.001620,0.087203,20.114227317306348,1.8823606978909977,100.0,100.0,100.0,100.0,100.0,0.5505328135688208
53.234310,4.910126,3000,121337,7.939264,10.462527,1.237606,1.170000,80.271351,0.108140,22.353445362914854,3.0048542489100605,100.0,100.0,100.0,100.0,100.0,1.1126037399968682
